project,fuzz_target,arch,bug_count
apache-httpd,fuzz_preq,x86_64,1
apache-httpd,fuzz_utils,x86_64,3
aspell,aspell_fuzzer,x86_64,2
binutils,fuzz_addr2line,x86_64,1
binutils,fuzz_nm,x86_64,1
binutils,fuzz_objdump,x86_64,2
binutils,fuzz_objdump_safe,x86_64,2
bluez,fuzz_textfile,x86_64,2
bluez,fuzz_xml,x86_64,1
c-ares,ares_parse_reply_fuzzer,x86_64,2
c-blosc,compress_fuzzer,x86_64,2
c-blosc2,compress_frame_fuzzer,x86_64,1
c-blosc2,compress_fuzzer,x86_64,1
c-blosc2,decompress_chunk_fuzzer,i386,5
c-blosc2,decompress_chunk_fuzzer,x86_64,8
c-blosc2,decompress_frame_fuzzer,i386,16
c-blosc2,decompress_frame_fuzzer,x86_64,33
c-blosc2,decompress_fuzzer,x86_64,3
capstone,fuzz_disasmnext,x86_64,1
clamav,clamav_dbload_CDB_fuzzer,x86_64,1
clamav,clamav_dbload_CRB_fuzzer,x86_64,2
clamav,clamav_dbload_FTM_fuzzer,x86_64,1
clamav,clamav_dbload_LDB_fuzzer,x86_64,1
clamav,clamav_dbload_PDB_fuzzer,x86_64,1
clamav,clamav_dbload_WDB_fuzzer,x86_64,2
clamav,clamav_dbload_YARA_fuzzer,x86_64,1
clamav,clamav_scanfile_ARCHIVE_fuzzer,x86_64,1
clamav,clamav_scanfile_fuzzer,x86_64,4
clamav,clamav_scanfile_HTML_fuzzer,x86_64,1
clamav,clamav_scanfile_OLE2_fuzzer,x86_64,1
clamav,clamav_scanfile_XMLDOCS_fuzzer,x86_64,1
clamav,clamav_scanmap_ARCHIVE_fuzzer,x86_64,1
clamav,clamav_scanmap_fuzzer,x86_64,2
clamav,clamav_scanmap_HTML_fuzzer,x86_64,2
clamav,clamav_scanmap_PDF_fuzzer,x86_64,5
clamav,clamav_scanmap_PE_fuzzer,x86_64,1
cpython3,fuzz_ast_literal_eval,x86_64,1
cpython3,fuzz_sre_compile,x86_64,1
cpython3,fuzz_sre_match,x86_64,1
cras,cras_fl_media_fuzzer,x86_64,4
cras,cras_hfp_slc,x86_64,1
cras,rclient_message,x86_64,6
croaring,croaring_fuzzer_cc,x86_64,2
cryptofuzz,cryptofuzz-boringssl-noasm,x86_64,1
cryptofuzz,cryptofuzz-libressl-noasm,x86_64,3
cryptofuzz,cryptofuzz-nss,x86_64,1
cryptofuzz,cryptofuzz-openssl,x86_64,2
cryptofuzz,cryptofuzz-openssl-noasm,x86_64,9
cryptsetup,crypt2_load_ondisk_fuzz,x86_64,1
curl,curl_fuzzer,x86_64,6
curl,curl_fuzzer_dict,x86_64,1
curl,curl_fuzzer_ftp,x86_64,1
curl,curl_fuzzer_http,i386,2
curl,curl_fuzzer_http,x86_64,1
curl,curl_fuzzer_pop3,x86_64,2
curl,curl_fuzzer_rtmp,i386,1
curl,curl_fuzzer_scp,x86_64,1
curl,curl_fuzzer_sftp,x86_64,2
curl,curl_fuzzer_smb,i386,1
curl,curl_fuzzer_smtp,i386,1
curl,curl_fuzzer_smtp,x86_64,1
curl,curl_fuzzer_tftp,x86_64,1
cyclonedds,fuzz_config_init,x86_64,1
cyclonedds,fuzz_security_deser,x86_64,1
cyclonedds,fuzz_type_object,x86_64,3
dav1d,dav1d_fuzzer,i386,1
dav1d,dav1d_fuzzer,x86_64,3
dav1d,dav1d_fuzzer_mt,x86_64,3
dnsmasq,fuzz_auth,x86_64,1
dnsmasq,fuzz_dhcp,x86_64,6
